,Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Year Joined,Investor_1,Investor_2,Investor_3,Investor_4
0,ByteDance,225.0,2017-04-07,China,Beijing,Media & Entertainment,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, SoftBank Group",2017,Sequoia Capital China, SIG Asia Investments, Sina Weibo, SoftBank Group
1,SpaceX,200.0,2012-12-01,United States,Hawthorne,Industrials,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",2012,Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures,
2,OpenAI,80.0,2019-07-22,United States,San Francisco,Enterprise Tech,Khosla Ventures,2019,Khosla Ventures,,,
3,SHEIN,66.0,2018-07-03,Singapore,Sigapore,Consumer & Retail,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",2018,Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners,
4,Stripe,70.0,2014-01-23,United States,San Francisco,Financial Services,"Khosla Ventures, LowercaseCapital, capitalG",2014,Khosla Ventures, LowercaseCapital, capitalG,
5,Revolut,45.0,2018-04-26,United Kingdom,London,Financial Services,"Index Ventures, DST Global, Ribbit Capital",2018,Index Ventures, DST Global, Ribbit Capital,
6,Databricks,43.0,2019-02-05,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",2019,Andreessen Horowitz, New Enterprise Associates, Battery Ventures,
7,Canva,25.4,2018-01-08,Australia,Surry Hills,Enterprise Tech,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",2018,Sequoia Capital China, Blackbird Ventures, Matrix Partners,
8,Epic Games,22.5,2018-10-26,United States,Cary,Media & Entertainment,"Tencent Holdings, KKR, Smash Ventures",2018,Tencent Holdings, KKR, Smash Ventures,
9,Fanatics,31.0,2012-06-06,United States,Jacksonville,Consumer & Retail,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",2012,SoftBank Group, Andreessen Horowitz, Temasek Holdings,
10,Chime,25.0,2019-03-05,United States,San Francisco,Financial Services,"Forerunner Ventures, Crosslink Capital, Homebrew",2019,Forerunner Ventures, Crosslink Capital, Homebrew,
11,xAI,24.0,2024-05-26,United States,Burlingame,Enterprise Tech,"Sequoia Capital, Andreessen Horowitz, VY Capital",2024,Sequoia Capital, Andreessen Horowitz, VY Capital,
12,CoreWeave,19.0,2023-04-20,United States,Roseland,Enterprise Tech,Magnetar Capital,2023,Magnetar Capital,,,
13,Miro,17.5,2022-01-05,United States,San Francisco,Enterprise Tech,"Accel, AltaIR Capital, Technology Crossover Ventures",2022,Accel, AltaIR Capital, Technology Crossover Ventures,
14,Xiaohongshu,17.0,2016-03-31,China,Shanghai,Media & Entertainment,"GGV Capital, ZhenFund, Tencent",2016,GGV Capital, ZhenFund, Tencent,
15,Anthropic,16.05,2023-02-03,United States,San Francisco,Enterprise Tech,Google,2023,Google,,,
16,Yuanfudao,15.5,2017-05-31,China,Beijing,Consumer & Retail,"Tencent Holdings, Warbug Pincus, IDG Capital",2017,Tencent Holdings, Warbug Pincus, IDG Capital,
17,DJI Innovations,15.0,2015-01-23,China,Shenzhen,Industrials,"Accel Partners, Sequoia Capital",2015,Accel Partners, Sequoia Capital,,
18,Discord,15.0,2018-04-20,United States,San Francisco,Media & Entertainment,"Benchmark, Greylock Partners, Tencent Holdings",2018,Benchmark, Greylock Partners, Tencent Holdings,
19,Gopuff,15.0,2020-10-08,United States,Philadelphia,Consumer & Retail,"Accel, SoftBank Group, Anthos Capital",2020,Accel, SoftBank Group, Anthos Capital,
20,Yuanqi Senlin,15.0,2020-03-01,China,Beijing,Consumer & Retail,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",2020,Sequoia Capital China, Longfor Capitalm, Gaorong Capital,
21,Ripple,15.0,2019-12-20,United States,San Francisco,Financial Services,"IDG Capital, Venture51, Lightspeed Venture Partners",2019,IDG Capital, Venture51, Lightspeed Venture Partners,
22,Anduril,14.0,2019-09-11,United States,Irvine,Industrials,"Andreessen Horowitz, Founders Fund, Revolution Ventures",2019,Andreessen Horowitz, Founders Fund, Revolution Ventures,
23,Plaid,13.5,2018-12-11,United States,San Francisco,Financial Services,"New Enterprise Associates, Spar Capital, Index Ventures",2018,New Enterprise Associates, Spar Capital, Index Ventures,
24,Rippling,13.5,2020-08-04,United States,San Francisco,Enterprise Tech,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",2020,Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers,
25,OpenSea,13.3,2021-07-20,United States,New York,Media & Entertainment,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",2021,Andreessen Horowitz, Thirty Five Ventures, Sound Ventures,
26,Celonis,13.0,2018-06-26,Germany,Munich,Enterprise Tech,"Accel, 83North",2018,Accel, 83North,,
27,Scale,13.8,2019-08-05,United States,San Francisco,Enterprise Tech,"Accel, Y Combinator, Index Ventures",2019,Accel, Y Combinator, Index Ventures,
28,Grammarly,13.0,2019-10-10,United States,San Francisco,Media & Entertainment,"General Catalyst, Institutional Venture Partners, Breyer Capital",2019,General Catalyst, Institutional Venture Partners, Breyer Capital,
29,Devoted Health,12.9,2018-10-16,United States,Waltham,Healthcare & Life Sciences,"Andreessen Horowitz, F-Prime Capital, Venrock",2018,Andreessen Horowitz, F-Prime Capital, Venrock,
30,Faire,12.59,2019-10-30,United States,San Francisco,Consumer & Retail,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",2019,Khosla Ventures, Forerunner Ventures, Sequoia Capital,
31,Brex,12.3,2018-10-05,United States,San Francisco,Enterprise Tech,"DST Global, Ribbit Capital, Greenoaks Capital Management",2018,DST Global, Ribbit Capital, Greenoaks Capital Management,
32,JUUL Labs,12.0,2017-12-20,United States,San Francisco,Consumer & Retail,Tiger Global Management,2017,Tiger Global Management,,,
33,Wiz,12.0,2021-03-17,Israel,Tel Aviv,Enterprise Tech,"Insight Partners, Sequoia Capital, Index Ventures",2021,Insight Partners, Sequoia Capital, Index Ventures,
34,Bitmain Technologies,12.0,2018-07-06,China,Beijing,Enterprise Tech,"Coatue Management, Sequoia Capital China, IDG Capital",2018,Coatue Management, Sequoia Capital China, IDG Capital,
35,GoodLeap,12.0,2021-10-13,United States,Roseville,Financial Services,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",2021,New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management,
36,Xingsheng Selected,12.0,2020-07-22,China,Changsha,Consumer & Retail,"KKR, Tencent Holdings, Sequoia Capital China",2020,KKR, Tencent Holdings, Sequoia Capital China,
37,Deel,12.0,2021-04-21,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Spark Capital, Y Combinator",2021,Andreessen Horowitz, Spark Capital, Y Combinator,
38,Airtable,11.7,2018-11-15,United States,San Francisco,Enterprise Tech,"Caffeinated Capital, CRV, Founder Collective",2018,Caffeinated Capital, CRV, Founder Collective,
39,BYJU's,11.5,2017-07-25,India,Bengaluru,Consumer & Retail,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",2017,Tencent Holdings, Lightspeed India Partners, Sequoia Capital India,
40,ZongMu Technology,11.4,2021-06-03,China,Shanghai,Industrials,"LTW Capital, Legend Capital, Qualcomm Ventures",2021,LTW Capital, Legend Capital, Qualcomm Ventures,
41,Global Switch,11.1,2016-12-22,United Kingdom,London,Enterprise Tech,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",2016,Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group,
42,Checkout.com,11.0,2019-05-02,United Kingdom,London,Financial Services,"Tiger Global Management, Insight Partners, DST Global",2019,Tiger Global Management, Insight Partners, DST Global,
43,Bolt,11.0,2021-10-08,United States,San Francisco,Financial Services,"Activant Capital, Tribe Capital, General Atlantic",2021,Activant Capital, Tribe Capital, General Atlantic,
44,Alchemy,10.2,2021-10-28,United States,San Francisco,Enterprise Tech,"DFJ Growth Fund, Coatue Management, Addition",2021,DFJ Growth Fund, Coatue Management, Addition,
45,Huolala,10.0,2019-02-21,China,Guangzhou,Industrials,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital",2019,MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital,
46,Gusto,10.0,2015-12-18,United States,San Francisco,Financial Services,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",2015,General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers,
