"Valuation","Number.of.Investors","Website.Monthly.Visits","Trademark.registered","Cluster"
10,17,152170,9,1
9.1,19,129342,10.7391304347826,1
5,11,55293,10.7391304347826,1
5,21,116767,15,1
4.4,35,83651,2,2
4.2,34,461655,16,2
4,5,3456,1,1
4,16,149715,4,1
3.5,11,148729,9,1
3.35,8,38691,4,1
3,11,190772,10.7391304347826,1
3,22,72747,0,1
2.75,26,23449,13,1
2.62,13,18679688.5966387,13,1
2.6,18,44724,2,1
2.5,13,83514,13,1
2.5,26,18679688.5966387,1,1
2.5,14,13641,10.7391304347826,1
2.1,10,67232,5,1
2.1,60,49298,10.7391304347826,2
2,24,153154,7,1
2,18,160443,0,1
2,13,71827,3,1
2,7,76759,12,1
2,19,18679688.5966387,3,1
2,10,103790,5,1
2,11,26281,0,1
7.5,23,134868,10,1
6.1,21.8429752066116,41,10.7391304347826,1
5,1,6802,10.7391304347826,1
4,7,36312,10.7391304347826,1
3.5,9,963,10.7391304347826,1
3.15,24,40225,10,1
2.5,32,43603,10.7391304347826,2
2,28,48595,2,1
2,14,78590,2,1
2,27,39204,116,4
2.74,9,8082,10.7391304347826,1
12,20,360148,10.7391304347826,1
2.45,14,4541030,6,1
80,38,1233975581,3,3
43,56,4130889,10,2
24,21,1481720,4,2
19,36,85871,10.7391304347826,2
17.5,15,42080776,10.7391304347826,1
16.05,53,8311374,7,2
13.5,42,6029878,4,2
13.8,43,395378,8,2
12.3,55,995284,13,2
12,53,3854660,5,2
11.7,52,33441854,8,2
10.2,52,2726831,5,2
10,37,177230646,19,2
9.2,25,1166399,1,1
9,14,541074,8,1
8.3,16,1713568,1,1
7.65,53,2474603,8,2
7.25,15,1400553,10.7391304347826,1
7,52,229762,14,2
6.8,26,303204,49,4
6.3,48,131689,13,2
6,10,1764159,10.7391304347826,1
5.2,21,635127,10,1
5.7,13,333514,7,1
5.6,10,4734550,25,1
5.6,9,311466,4,1
4.5,9,4039015,62,4
5.1,8,193583,12,1
5,14,99426,2,1
4.7,25,2073394,22,1
4.6,31,3954217,5,2
4.6,20,620373,6,1
4.5,38,31484483,3,2
4.4,37,1045481,26,2
4.3,19,281781,18,1
4.3,12,575247,1,1
4.2,4,945495,15,1
4.2,13,508052,14,1
4.1,53,92975,12,2
4,32,486578,0,2
4,7,10812588,11,1
4,6,46987740,1,1
4,24,472080,15,1
4,11,7977923,8,1
3.75,3,4002810,1,1
3.7,33,170623,15,2
3.7,18,372678,3,1
3.7,17,91111,10.7391304347826,1
3.7,25,383310,13,1
3.7,4,91508,11,1
3.5,16,1265314,10,1
3.25,20,10102714,10.7391304347826,1
3.2,26,384290,10,1
3.2,18,2504810,3,1
3,4,48737778,10.7391304347826,1
3,4,634992,10.7391304347826,1
3,20,475762,16,1
3,29,369009,5,1
3,9,986797,8,1
3,23,258758,2,1
3,25,2702549,10.7391304347826,1
3,7,3050965,6,1
2.7,37,167119,0,2
2.7,1,2034106,71,4
2.6,17,394587,4,1
2.62,26,2671359,13,1
2.5,44,1425339,5,2
2.45,17,248264,6,1
2.4,35,1382078,5,2
2.62,27,127805,8,1
2.25,40,714204,10.7391304347826,2
2.2,18,4630398,7,1
2,18,560129,10.7391304347826,1
2,12,115192,10.7391304347826,1
2,5,717536,22,1
2,12,469705101,10.7391304347826,1
2,12,1092570,10.7391304347826,1
2,19,3468002,2,1
2,15,2735777,10.7391304347826,1
2,10,953600,10.7391304347826,1
2,28,412102,10.7391304347826,1
2,21,1795493,10.7391304347826,1
